Lexeme          LineNo TokenName              ValueIfNumber Parent                 isLeaf   Node                  
(              	 62 	 TK_OP                 	 ----      	 ioStmt                	 yes 	 TK_OP                 	 
c3bd           	 62 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 var                   	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 var                   	 ----      	 ioStmt                	 no  	 var                   	 
)              	 62 	 TK_CL                 	 ----      	 ioStmt                	 yes 	 TK_CL                 	 
;              	 62 	 TK_SEM                	 ----      	 ioStmt                	 yes 	 TK_SEM                	 
----           	 0  	 stmt                  	 ----      	 iterativeStmt         	 no  	 stmt                  	 
d3             	 63 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 assignmentStmt        	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 assignmentStmt        	 ----      	 stmt                  	 no  	 assignmentStmt        	 
<---           	 63 	 TK_ASSIGNOP           	 ----      	 assignmentStmt        	 yes 	 TK_ASSIGNOP           	 
d3             	 63 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 var                   	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 var                   	 ----      	 factor                	 no  	 var                   	 
----           	 0  	 factor                	 ----      	 term                  	 no  	 factor                	 
----           	 0  	 term                  	 ----      	 arithmeticExpression  	 no  	 term                  	 
eps            	 0  	 eps                   	 ----      	 termPrime             	 yes 	 eps                   	 
----           	 0  	 termPrime             	 ----      	 term                  	 no  	 termPrime             	 
----           	 0  	 arithmeticExpression  	 ----      	 assignmentStmt        	 no  	 arithmeticExpression  	 
+              	 63 	 TK_PLUS               	 ----      	 lowPrecedenceOp       	 yes 	 TK_PLUS               	 
----           	 0  	 lowPrecedenceOp       	 ----      	 expPrime              	 no  	 lowPrecedenceOp       	 
----           	 0  	 expPrime              	 ----      	 arithmeticExpression  	 no  	 expPrime              	 
c3bd           	 63 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 var                   	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 var                   	 ----      	 factor                	 no  	 var                   	 
----           	 0  	 factor                	 ----      	 term                  	 no  	 factor                	 
----           	 0  	 term                  	 ----      	 expPrime              	 no  	 term                  	 
eps            	 0  	 eps                   	 ----      	 termPrime             	 yes 	 eps                   	 
----           	 0  	 termPrime             	 ----      	 term                  	 no  	 termPrime             	 
eps            	 0  	 eps                   	 ----      	 expPrime              	 yes 	 eps                   	 
----           	 0  	 expPrime              	 ----      	 expPrime              	 no  	 expPrime              	 
;              	 63 	 TK_SEM                	 ----      	 assignmentStmt        	 yes 	 TK_SEM                	 
----           	 0  	 stmt                  	 ----      	 otherStmts            	 no  	 stmt                  	 
----           	 0  	 otherStmts            	 ----      	 iterativeStmt         	 no  	 otherStmts            	 
b5b567         	 64 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 assignmentStmt        	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 assignmentStmt        	 ----      	 stmt                  	 no  	 assignmentStmt        	 
<---           	 64 	 TK_ASSIGNOP           	 ----      	 assignmentStmt        	 yes 	 TK_ASSIGNOP           	 
b5b567         	 64 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 var                   	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 var                   	 ----      	 factor                	 no  	 var                   	 
----           	 0  	 factor                	 ----      	 term                  	 no  	 factor                	 
----           	 0  	 term                  	 ----      	 arithmeticExpression  	 no  	 term                  	 
eps            	 0  	 eps                   	 ----      	 termPrime             	 yes 	 eps                   	 
----           	 0  	 termPrime             	 ----      	 term                  	 no  	 termPrime             	 
----           	 0  	 arithmeticExpression  	 ----      	 assignmentStmt        	 no  	 arithmeticExpression  	 
+              	 64 	 TK_PLUS               	 ----      	 lowPrecedenceOp       	 yes 	 TK_PLUS               	 
----           	 0  	 lowPrecedenceOp       	 ----      	 expPrime              	 no  	 lowPrecedenceOp       	 
----           	 0  	 expPrime              	 ----      	 arithmeticExpression  	 no  	 expPrime              	 
1              	 64 	 TK_NUM                	 1         	 var                   	 yes 	 TK_NUM                	 
----           	 0  	 var                   	 ----      	 factor                	 no  	 var                   	 
----           	 0  	 factor                	 ----      	 term                  	 no  	 factor                	 
----           	 0  	 term                  	 ----      	 expPrime              	 no  	 term                  	 
eps            	 0  	 eps                   	 ----      	 termPrime             	 yes 	 eps                   	 
----           	 0  	 termPrime             	 ----      	 term                  	 no  	 termPrime             	 
eps            	 0  	 eps                   	 ----      	 expPrime              	 yes 	 eps                   	 
----           	 0  	 expPrime              	 ----      	 expPrime              	 no  	 expPrime              	 
;              	 64 	 TK_SEM                	 ----      	 assignmentStmt        	 yes 	 TK_SEM                	 
----           	 0  	 stmt                  	 ----      	 otherStmts            	 no  	 stmt                  	 
----           	 0  	 otherStmts            	 ----      	 otherStmts            	 no  	 otherStmts            	 
eps            	 0  	 eps                   	 ----      	 otherStmts            	 yes 	 eps                   	 
----           	 0  	 otherStmts            	 ----      	 otherStmts            	 no  	 otherStmts            	 
endwhile       	 65 	 TK_ENDWHILE           	 ----      	 iterativeStmt         	 yes 	 TK_ENDWHILE           	 
----           	 0  	 stmt                  	 ----      	 otherStmts            	 no  	 stmt                  	 
----           	 0  	 otherStmts            	 ----      	 otherStmts            	 no  	 otherStmts            	 
eps            	 0  	 eps                   	 ----      	 otherStmts            	 yes 	 eps                   	 
----           	 0  	 otherStmts            	 ----      	 otherStmts            	 no  	 otherStmts            	 
return         	 66 	 TK_RETURN             	 ----      	 returnStmt            	 yes 	 TK_RETURN             	 
----           	 0  	 returnStmt            	 ----      	 stmts                 	 no  	 returnStmt            	 
[              	 66 	 TK_SQL                	 ----      	 optionalReturn        	 yes 	 TK_SQL                	 
----           	 0  	 optionalReturn        	 ----      	 returnStmt            	 no  	 optionalReturn        	 
d3             	 66 	 TK_ID                 	 ----      	 idList                	 yes 	 TK_ID                 	 
----           	 0  	 idList                	 ----      	 optionalReturn        	 no  	 idList                	 
eps            	 0  	 eps                   	 ----      	 more_ids              	 yes 	 eps                   	 
----           	 0  	 more_ids              	 ----      	 idList                	 no  	 more_ids              	 
]              	 66 	 TK_SQR                	 ----      	 optionalReturn        	 yes 	 TK_SQR                	 
;              	 66 	 TK_SEM                	 ----      	 returnStmt            	 yes 	 TK_SEM                	 
end            	 67 	 TK_END                	 ----      	 function              	 yes 	 TK_END                	 
----           	 0  	 otherFunctions        	 ----      	 otherFunctions        	 no  	 otherFunctions        	 
_sumNCa        	 69 	 TK_FUNID              	 ----      	 function              	 yes 	 TK_FUNID              	 
----           	 0  	 function              	 ----      	 otherFunctions        	 no  	 function              	 
input          	 69 	 TK_INPUT              	 ----      	 input_par             	 yes 	 TK_INPUT              	 
----           	 0  	 input_par             	 ----      	 function              	 no  	 input_par             	 
parameter      	 69 	 TK_PARAMETER          	 ----      	 input_par             	 yes 	 TK_PARAMETER          	 
list           	 69 	 TK_LIST               	 ----      	 input_par             	 yes 	 TK_LIST               	 
[              	 69 	 TK_SQL                	 ----      	 input_par             	 yes 	 TK_SQL                	 
int            	 69 	 TK_INT                	 ----      	 primitiveDataType     	 yes 	 TK_INT                	 
----           	 0  	 primitiveDataType     	 ----      	 dataType              	 no  	 primitiveDataType     	 
----           	 0  	 dataType              	 ----      	 parameter_list        	 no  	 dataType              	 
----           	 0  	 parameter_list        	 ----      	 input_par             	 no  	 parameter_list        	 
d5cc34         	 69 	 TK_ID                 	 ----      	 parameter_list        	 yes 	 TK_ID                 	 
eps            	 0  	 eps                   	 ----      	 remaining_list        	 yes 	 eps                   	 
----           	 0  	 remaining_list        	 ----      	 parameter_list        	 no  	 remaining_list        	 
]              	 69 	 TK_SQR                	 ----      	 input_par             	 yes 	 TK_SQR                	 
output         	 70 	 TK_OUTPUT             	 ----      	 output_par            	 yes 	 TK_OUTPUT             	 
----           	 0  	 output_par            	 ----      	 function              	 no  	 output_par            	 
parameter      	 70 	 TK_PARAMETER          	 ----      	 output_par            	 yes 	 TK_PARAMETER          	 
list           	 70 	 TK_LIST               	 ----      	 output_par            	 yes 	 TK_LIST               	 
[              	 70 	 TK_SQL                	 ----      	 output_par            	 yes 	 TK_SQL                	 
real           	 70 	 TK_REAL               	 ----      	 primitiveDataType     	 yes 	 TK_REAL               	 
----           	 0  	 primitiveDataType     	 ----      	 dataType              	 no  	 primitiveDataType     	 
----           	 0  	 dataType              	 ----      	 parameter_list        	 no  	 dataType              	 
----           	 0  	 parameter_list        	 ----      	 output_par            	 no  	 parameter_list        	 
d3             	 70 	 TK_ID                 	 ----      	 parameter_list        	 yes 	 TK_ID                 	 
eps            	 0  	 eps                   	 ----      	 remaining_list        	 yes 	 eps                   	 
----           	 0  	 remaining_list        	 ----      	 parameter_list        	 no  	 remaining_list        	 
]              	 70 	 TK_SQR                	 ----      	 output_par            	 yes 	 TK_SQR                	 
;              	 70 	 TK_SEM                	 ----      	 function              	 yes 	 TK_SEM                	 
eps            	 0  	 eps                   	 ----      	 typeDefinitions       	 yes 	 eps                   	 
----           	 0  	 typeDefinitions       	 ----      	 stmts                 	 no  	 typeDefinitions       	 
----           	 0  	 stmts                 	 ----      	 function              	 no  	 stmts                 	 
type           	 71 	 TK_TYPE               	 ----      	 declaration           	 yes 	 TK_TYPE               	 
----           	 0  	 declaration           	 ----      	 declarations          	 no  	 declaration           	 
int            	 71 	 TK_INT                	 ----      	 primitiveDataType     	 yes 	 TK_INT                	 
----           	 0  	 primitiveDataType     	 ----      	 dataType              	 no  	 primitiveDataType     	 
----           	 0  	 dataType              	 ----      	 declaration           	 no  	 dataType              	 
:              	 71 	 TK_COLON              	 ----      	 declaration           	 yes 	 TK_COLON              	 
b5b567         	 71 	 TK_ID                 	 ----      	 declaration           	 yes 	 TK_ID                 	 
eps            	 0  	 eps                   	 ----      	 global_or_not         	 yes 	 eps                   	 
----           	 0  	 global_or_not         	 ----      	 declaration           	 no  	 global_or_not         	 
;              	 71 	 TK_SEM                	 ----      	 declaration           	 yes 	 TK_SEM                	 
----           	 0  	 declarations          	 ----      	 stmts                 	 no  	 declarations          	 
eps            	 0  	 eps                   	 ----      	 declarations          	 yes 	 eps                   	 
----           	 0  	 declarations          	 ----      	 declarations          	 no  	 declarations          	 
b5b567         	 72 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 assignmentStmt        	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 assignmentStmt        	 ----      	 stmt                  	 no  	 assignmentStmt        	 
<---           	 72 	 TK_ASSIGNOP           	 ----      	 assignmentStmt        	 yes 	 TK_ASSIGNOP           	 
1              	 72 	 TK_NUM                	 1         	 var                   	 yes 	 TK_NUM                	 
----           	 0  	 var                   	 ----      	 factor                	 no  	 var                   	 
----           	 0  	 factor                	 ----      	 term                  	 no  	 factor                	 
----           	 0  	 term                  	 ----      	 arithmeticExpression  	 no  	 term                  	 
eps            	 0  	 eps                   	 ----      	 termPrime             	 yes 	 eps                   	 
----           	 0  	 termPrime             	 ----      	 term                  	 no  	 termPrime             	 
----           	 0  	 arithmeticExpression  	 ----      	 assignmentStmt        	 no  	 arithmeticExpression  	 
eps            	 0  	 eps                   	 ----      	 expPrime              	 yes 	 eps                   	 
----           	 0  	 expPrime              	 ----      	 arithmeticExpression  	 no  	 expPrime              	 
;              	 72 	 TK_SEM                	 ----      	 assignmentStmt        	 yes 	 TK_SEM                	 
----           	 0  	 stmt                  	 ----      	 otherStmts            	 no  	 stmt                  	 
----           	 0  	 otherStmts            	 ----      	 stmts                 	 no  	 otherStmts            	 
d3             	 73 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 assignmentStmt        	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 assignmentStmt        	 ----      	 stmt                  	 no  	 assignmentStmt        	 
<---           	 73 	 TK_ASSIGNOP           	 ----      	 assignmentStmt        	 yes 	 TK_ASSIGNOP           	 
0.00           	 73 	 TK_RNUM               	 0.00000   	 var                   	 yes 	 TK_RNUM               	 
----           	 0  	 var                   	 ----      	 factor                	 no  	 var                   	 
----           	 0  	 factor                	 ----      	 term                  	 no  	 factor                	 
----           	 0  	 term                  	 ----      	 arithmeticExpression  	 no  	 term                  	 
eps            	 0  	 eps                   	 ----      	 termPrime             	 yes 	 eps                   	 
----           	 0  	 termPrime             	 ----      	 term                  	 no  	 termPrime             	 
----           	 0  	 arithmeticExpression  	 ----      	 assignmentStmt        	 no  	 arithmeticExpression  	 
eps            	 0  	 eps                   	 ----      	 expPrime              	 yes 	 eps                   	 
----           	 0  	 expPrime              	 ----      	 arithmeticExpression  	 no  	 expPrime              	 
;              	 73 	 TK_SEM                	 ----      	 assignmentStmt        	 yes 	 TK_SEM                	 
----           	 0  	 stmt                  	 ----      	 otherStmts            	 no  	 stmt                  	 
----           	 0  	 otherStmts            	 ----      	 otherStmts            	 no  	 otherStmts            	 
while          	 74 	 TK_WHILE              	 ----      	 iterativeStmt         	 yes 	 TK_WHILE              	 
----           	 0  	 iterativeStmt         	 ----      	 stmt                  	 no  	 iterativeStmt         	 
(              	 74 	 TK_OP                 	 ----      	 iterativeStmt         	 yes 	 TK_OP                 	 
b5b567         	 74 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 var                   	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 var                   	 ----      	 booleanExpression     	 no  	 var                   	 
----           	 0  	 booleanExpression     	 ----      	 iterativeStmt         	 no  	 booleanExpression     	 
<=             	 74 	 TK_LE                 	 ----      	 relationalOp          	 yes 	 TK_LE                 	 
----           	 0  	 relationalOp          	 ----      	 booleanExpression     	 no  	 relationalOp          	 
d5cc34         	 74 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 var                   	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 var                   	 ----      	 booleanExpression     	 no  	 var                   	 
)              	 74 	 TK_CL                 	 ----      	 iterativeStmt         	 yes 	 TK_CL                 	 
read           	 75 	 TK_READ               	 ----      	 ioStmt                	 yes 	 TK_READ               	 
----           	 0  	 ioStmt                	 ----      	 stmt                  	 no  	 ioStmt                	 
(              	 75 	 TK_OP                 	 ----      	 ioStmt                	 yes 	 TK_OP                 	 
c3bd           	 75 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 var                   	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 var                   	 ----      	 ioStmt                	 no  	 var                   	 
)              	 75 	 TK_CL                 	 ----      	 ioStmt                	 yes 	 TK_CL                 	 
;              	 75 	 TK_SEM                	 ----      	 ioStmt                	 yes 	 TK_SEM                	 
----           	 0  	 stmt                  	 ----      	 iterativeStmt         	 no  	 stmt                  	 
d3             	 76 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 assignmentStmt        	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 assignmentStmt        	 ----      	 stmt                  	 no  	 assignmentStmt        	 
<---           	 76 	 TK_ASSIGNOP           	 ----      	 assignmentStmt        	 yes 	 TK_ASSIGNOP           	 
d3             	 76 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 var                   	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 var                   	 ----      	 factor                	 no  	 var                   	 
----           	 0  	 factor                	 ----      	 term                  	 no  	 factor                	 
----           	 0  	 term                  	 ----      	 arithmeticExpression  	 no  	 term                  	 
eps            	 0  	 eps                   	 ----      	 termPrime             	 yes 	 eps                   	 
----           	 0  	 termPrime             	 ----      	 term                  	 no  	 termPrime             	 
----           	 0  	 arithmeticExpression  	 ----      	 assignmentStmt        	 no  	 arithmeticExpression  	 
+              	 76 	 TK_PLUS               	 ----      	 lowPrecedenceOp       	 yes 	 TK_PLUS               	 
----           	 0  	 lowPrecedenceOp       	 ----      	 expPrime              	 no  	 lowPrecedenceOp       	 
----           	 0  	 expPrime              	 ----      	 arithmeticExpression  	 no  	 expPrime              	 
c3bd           	 76 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 var                   	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 var                   	 ----      	 factor                	 no  	 var                   	 
----           	 0  	 factor                	 ----      	 term                  	 no  	 factor                	 
----           	 0  	 term                  	 ----      	 expPrime              	 no  	 term                  	 
eps            	 0  	 eps                   	 ----      	 termPrime             	 yes 	 eps                   	 
----           	 0  	 termPrime             	 ----      	 term                  	 no  	 termPrime             	 
eps            	 0  	 eps                   	 ----      	 expPrime              	 yes 	 eps                   	 
----           	 0  	 expPrime              	 ----      	 expPrime              	 no  	 expPrime              	 
;              	 76 	 TK_SEM                	 ----      	 assignmentStmt        	 yes 	 TK_SEM                	 
----           	 0  	 stmt                  	 ----      	 otherStmts            	 no  	 stmt                  	 
----           	 0  	 otherStmts            	 ----      	 iterativeStmt         	 no  	 otherStmts            	 
b5b567         	 77 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 assignmentStmt        	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 assignmentStmt        	 ----      	 stmt                  	 no  	 assignmentStmt        	 
<---           	 77 	 TK_ASSIGNOP           	 ----      	 assignmentStmt        	 yes 	 TK_ASSIGNOP           	 
b5b567         	 77 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 var                   	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 var                   	 ----      	 factor                	 no  	 var                   	 
----           	 0  	 factor                	 ----      	 term                  	 no  	 factor                	 
----           	 0  	 term                  	 ----      	 arithmeticExpression  	 no  	 term                  	 
eps            	 0  	 eps                   	 ----      	 termPrime             	 yes 	 eps                   	 
----           	 0  	 termPrime             	 ----      	 term                  	 no  	 termPrime             	 
----           	 0  	 arithmeticExpression  	 ----      	 assignmentStmt        	 no  	 arithmeticExpression  	 
+              	 77 	 TK_PLUS               	 ----      	 lowPrecedenceOp       	 yes 	 TK_PLUS               	 
----           	 0  	 lowPrecedenceOp       	 ----      	 expPrime              	 no  	 lowPrecedenceOp       	 
----           	 0  	 expPrime              	 ----      	 arithmeticExpression  	 no  	 expPrime              	 
1              	 77 	 TK_NUM                	 1         	 var                   	 yes 	 TK_NUM                	 
----           	 0  	 var                   	 ----      	 factor                	 no  	 var                   	 
----           	 0  	 factor                	 ----      	 term                  	 no  	 factor                	 
----           	 0  	 term                  	 ----      	 expPrime              	 no  	 term                  	 
eps            	 0  	 eps                   	 ----      	 termPrime             	 yes 	 eps                   	 
----           	 0  	 termPrime             	 ----      	 term                  	 no  	 termPrime             	 
eps            	 0  	 eps                   	 ----      	 expPrime              	 yes 	 eps                   	 
----           	 0  	 expPrime              	 ----      	 expPrime              	 no  	 expPrime              	 
;              	 77 	 TK_SEM                	 ----      	 assignmentStmt        	 yes 	 TK_SEM                	 
----           	 0  	 stmt                  	 ----      	 otherStmts            	 no  	 stmt                  	 
----           	 0  	 otherStmts            	 ----      	 otherStmts            	 no  	 otherStmts            	 
eps            	 0  	 eps                   	 ----      	 otherStmts            	 yes 	 eps                   	 
----           	 0  	 otherStmts            	 ----      	 otherStmts            	 no  	 otherStmts            	 
endwhile       	 78 	 TK_ENDWHILE           	 ----      	 iterativeStmt         	 yes 	 TK_ENDWHILE           	 
----           	 0  	 stmt                  	 ----      	 otherStmts            	 no  	 stmt                  	 
----           	 0  	 otherStmts            	 ----      	 otherStmts            	 no  	 otherStmts            	 
eps            	 0  	 eps                   	 ----      	 otherStmts            	 yes 	 eps                   	 
----           	 0  	 otherStmts            	 ----      	 otherStmts            	 no  	 otherStmts            	 
return         	 79 	 TK_RETURN             	 ----      	 returnStmt            	 yes 	 TK_RETURN             	 
----           	 0  	 returnStmt            	 ----      	 stmts                 	 no  	 returnStmt            	 
[              	 79 	 TK_SQL                	 ----      	 optionalReturn        	 yes 	 TK_SQL                	 
----           	 0  	 optionalReturn        	 ----      	 returnStmt            	 no  	 optionalReturn        	 
d3             	 79 	 TK_ID                 	 ----      	 idList                	 yes 	 TK_ID                 	 
----           	 0  	 idList                	 ----      	 optionalReturn        	 no  	 idList                	 
eps            	 0  	 eps                   	 ----      	 more_ids              	 yes 	 eps                   	 
----           	 0  	 more_ids              	 ----      	 idList                	 no  	 more_ids              	 
]              	 79 	 TK_SQR                	 ----      	 optionalReturn        	 yes 	 TK_SQR                	 
;              	 79 	 TK_SEM                	 ----      	 returnStmt            	 yes 	 TK_SEM                	 
end            	 80 	 TK_END                	 ----      	 function              	 yes 	 TK_END                	 
----           	 0  	 otherFunctions        	 ----      	 otherFunctions        	 no  	 otherFunctions        	 
_sumNCb        	 82 	 TK_FUNID              	 ----      	 function              	 yes 	 TK_FUNID              	 
----           	 0  	 function              	 ----      	 otherFunctions        	 no  	 function              	 
input          	 82 	 TK_INPUT              	 ----      	 input_par             	 yes 	 TK_INPUT              	 
----           	 0  	 input_par             	 ----      	 function              	 no  	 input_par             	 
parameter      	 82 	 TK_PARAMETER          	 ----      	 input_par             	 yes 	 TK_PARAMETER          	 
list           	 82 	 TK_LIST               	 ----      	 input_par             	 yes 	 TK_LIST               	 
[              	 82 	 TK_SQL                	 ----      	 input_par             	 yes 	 TK_SQL                	 
int            	 82 	 TK_INT                	 ----      	 primitiveDataType     	 yes 	 TK_INT                	 
----           	 0  	 primitiveDataType     	 ----      	 dataType              	 no  	 primitiveDataType     	 
----           	 0  	 dataType              	 ----      	 parameter_list        	 no  	 dataType              	 
----           	 0  	 parameter_list        	 ----      	 input_par             	 no  	 parameter_list        	 
d5cc34         	 82 	 TK_ID                 	 ----      	 parameter_list        	 yes 	 TK_ID                 	 
eps            	 0  	 eps                   	 ----      	 remaining_list        	 yes 	 eps                   	 
----           	 0  	 remaining_list        	 ----      	 parameter_list        	 no  	 remaining_list        	 
]              	 82 	 TK_SQR                	 ----      	 input_par             	 yes 	 TK_SQR                	 
output         	 83 	 TK_OUTPUT             	 ----      	 output_par            	 yes 	 TK_OUTPUT             	 
----           	 0  	 output_par            	 ----      	 function              	 no  	 output_par            	 
parameter      	 83 	 TK_PARAMETER          	 ----      	 output_par            	 yes 	 TK_PARAMETER          	 
list           	 83 	 TK_LIST               	 ----      	 output_par            	 yes 	 TK_LIST               	 
[              	 83 	 TK_SQL                	 ----      	 output_par            	 yes 	 TK_SQL                	 
real           	 83 	 TK_REAL               	 ----      	 primitiveDataType     	 yes 	 TK_REAL               	 
----           	 0  	 primitiveDataType     	 ----      	 dataType              	 no  	 primitiveDataType     	 
----           	 0  	 dataType              	 ----      	 parameter_list        	 no  	 dataType              	 
----           	 0  	 parameter_list        	 ----      	 output_par            	 no  	 parameter_list        	 
d3             	 83 	 TK_ID                 	 ----      	 parameter_list        	 yes 	 TK_ID                 	 
eps            	 0  	 eps                   	 ----      	 remaining_list        	 yes 	 eps                   	 
----           	 0  	 remaining_list        	 ----      	 parameter_list        	 no  	 remaining_list        	 
]              	 83 	 TK_SQR                	 ----      	 output_par            	 yes 	 TK_SQR                	 
;              	 83 	 TK_SEM                	 ----      	 function              	 yes 	 TK_SEM                	 
eps            	 0  	 eps                   	 ----      	 typeDefinitions       	 yes 	 eps                   	 
----           	 0  	 typeDefinitions       	 ----      	 stmts                 	 no  	 typeDefinitions       	 
----           	 0  	 stmts                 	 ----      	 function              	 no  	 stmts                 	 
type           	 84 	 TK_TYPE               	 ----      	 declaration           	 yes 	 TK_TYPE               	 
----           	 0  	 declaration           	 ----      	 declarations          	 no  	 declaration           	 
int            	 84 	 TK_INT                	 ----      	 primitiveDataType     	 yes 	 TK_INT                	 
----           	 0  	 primitiveDataType     	 ----      	 dataType              	 no  	 primitiveDataType     	 
----           	 0  	 dataType              	 ----      	 declaration           	 no  	 dataType              	 
:              	 84 	 TK_COLON              	 ----      	 declaration           	 yes 	 TK_COLON              	 
b5b567         	 84 	 TK_ID                 	 ----      	 declaration           	 yes 	 TK_ID                 	 
eps            	 0  	 eps                   	 ----      	 global_or_not         	 yes 	 eps                   	 
----           	 0  	 global_or_not         	 ----      	 declaration           	 no  	 global_or_not         	 
;              	 84 	 TK_SEM                	 ----      	 declaration           	 yes 	 TK_SEM                	 
----           	 0  	 declarations          	 ----      	 stmts                 	 no  	 declarations          	 
